Category,x
HP:0001679,358
HP:0001680,128
HP:0001681,39
HP:0001682,21
HP:0001684,29
HP:0001685,18
HP:0001686,6
HP:0001688,29
HP:0001692,80
HP:0001693,14
HP:0001694,4
HP:0001695,143
HP:0001696,112
HP:0001697,73
HP:0001698,40
HP:0001699,124
HP:0001700,4
HP:0001701,35
HP:0001702,43
HP:0001704,12
HP:0001705,4
HP:0001706,6
HP:0001707,66
HP:0001708,18
HP:0001709,10
HP:0001710,238
HP:0001711,114
HP:0001712,90
HP:0001713,664
HP:0001714,145
HP:0001716,15
HP:0001717,4
HP:0001718,21
HP:0001719,80
HP:0001722,6
HP:0001723,21
HP:0001727,3
HP:0001730,38
HP:0001732,298
HP:0001733,78
HP:0001734,25
HP:0001735,7
HP:0001737,36
HP:0001738,67
HP:0001739,189
HP:0001741,13
HP:0001742,52
HP:0001743,577
HP:0001744,443
HP:0001746,82
HP:0001747,34
HP:0001748,55
HP:0001750,8
HP:0001751,142
HP:0001756,11
HP:0001757,6
HP:0001760,1429
HP:0001761,276
HP:0001762,350
HP:0001763,336
HP:0001765,49
HP:0001769,34
HP:0001770,224
HP:0001771,41
HP:0001772,13
HP:0001773,133
HP:0001775,1
HP:0001776,35
HP:0001780,662
HP:0001782,1
HP:0001783,13
HP:0001785,10
HP:0001786,6
HP:0001787,81
HP:0001788,14
HP:0001789,112
HP:0001790,50
HP:0001791,7
HP:0001792,174
HP:0001795,21
HP:0001798,65
HP:0001799,14
HP:0001800,78
HP:0001802,18
HP:0001803,7
HP:0001804,47
HP:0001805,27
HP:0001806,23
HP:0001807,26
HP:0001808,26
HP:0001809,7
HP:0001810,21
HP:0001812,9
HP:0001814,5
HP:0001816,15
HP:0001817,40
HP:0001818,16
HP:0001820,15
HP:0001821,9
HP:0001822,71
HP:0001824,331
HP:0001827,17
HP:0001829,123
HP:0001830,62
HP:0001831,99
HP:0001832,153
HP:0001833,28
HP:0001836,16
HP:0001837,80
HP:0001838,64
HP:0001839,8
HP:0001840,45
HP:0001841,19
HP:0001842,9
HP:0001844,187
HP:0001845,63
HP:0001847,18
HP:0001848,12
HP:0001849,10
HP:0001850,124
HP:0001852,91
HP:0001853,5
HP:0001854,1
HP:0001857,6
HP:0001863,23
HP:0001864,12
HP:0001868,2
HP:0001869,20
HP:0001870,3
